title,genres,overview,cast,crew,movie_id
Mayabazar,Mythological,A classic fantasy drama.,"NTR, Savitri",K. V. Reddy,1
Baahubali: The Beginning,Epic Action,A warrior rises to discover his legacy.,"Prabhas, Rana",Rajamouli,2
Baahubali 2: The Conclusion,Epic Action,The continuation of Baahubali saga.,"Prabhas, Anushka",Rajamouli,3
RRR,Period Action,Two revolutionaries fight for freedom.,"Ram Charan, NTR",Rajamouli,4
Pushpa,Action Drama,A laborer rises in red sandalwood smuggling.,"Allu Arjun, Rashmika",Sukumar,5
Athadu,Action Thriller,A hitman becomes part of a family accidentally.,"Mahesh Babu, Trisha",Trivikram,6
Pokiri,Action,An undercover cop infiltrates mafia.,"Mahesh Babu, Ileana",Puri Jagannadh,7
Gabbar Singh,Action Comedy,A man joins police to take revenge.,"Pawan Kalyan, Shruti Hassan",Harish Shankar,8
Khaidi No. 150,Action Drama,An ex-convict fights against corporate corruption.,"Chiranjeevi, Kajal",VV Vinayak,9
Sye Raa Narasimha Reddy,Historical,Story of freedom fighter Uyyalawada Narasimha Reddy.,"Chiranjeevi, Nayanthara",Surender Reddy,10
Magadheera,Fantasy Action,Reincarnation love revenge drama.,"Ram Charan, Kajal",Rajamouli,11
Ala Vaikunthapuramulo,Family Drama,A middle-class man discovers his real parents.,"Allu Arjun, Pooja",Trivikram,12
Sita Ramam,Romantic Drama,A soldier and a girl exchange letters that change lives.,"Dulquer, Mrunal",Hanu Raghavapudi,13
Salaar,Action,A man protects his friend from enemies.,"Prabhas, Prithviraj",Prashanth Neel,14
Saaho,Action Thriller,A thief and undercover police clash in a mystery.,"Prabhas, Shraddha",Sujeeth,15
Gaddalakonda Ganesh,Action Comedy,A gangster's life is documented by a director.,"Varun Tej, Atharvaa",Harish Shankar,16
Tholi Prema,Romantic,A love story of two opposite personalities.,"Varun Tej, Raashi",Venky Atluri,17
Bheemla Nayak,Action,Conflict between a SI and retired army havildar.,"Pawan Kalyan, Rana",Saagar K Chandra,18
Jalsa,Action Comedy,A cheerful lecturer with a painful past.,"Pawan Kalyan, Ileana",Trivikram,19
Sarileru Neekevvaru,Action Comedy,An army major protects a family from a minister.,"Mahesh Babu, Rashmika",Anil Ravipudi,20
Bharat Ane Nenu,Political,A young CM tries to change the system.,"Mahesh Babu, Kiara",Koratala Siva,21
Acharya,Action,A naxal-fighting story in a temple town.,"Chiranjeevi, Ram Charan",Koratala Siva,22
Bro,Fantasy Drama,A man gets a second chance from Time God.,"Pawan Kalyan, Sai Dharam Tej",Samuthirakani,23
Virupaksha,Mystery Thriller,A man uncovers secrets behind deaths.,"Sai Dharam Tej, Samyuktha",Karthik Varma,24
Subramanyam For Sale,Rom-Com,A boy acts as fiancé for money.,"Sai Dharam Tej, Regina",Harish Shankar,25
